,tweet_id,retweet_count,favorite_count
202,851464819735769094,6219,21749
203,851224888060895234,5094,18597
204,850753642995093505,7991,27510
205,850380195714523136,2297,11751
206,850333567704068097,302,3113
207,850145622816686080,3344,14669
208,850019790995546112,4315,18323
209,849776966551130114,6731,27261
210,849668094696017920,4379,0
211,849412302885593088,2797,14312
212,849336543269576704,1665,10276
213,849051919805034497,7515,38010
214,848690551926992896,3874,22676
215,848324959059550208,4099,22281
216,848213670039564288,641,7337
217,848212111729840128,2682,14647
218,847978865427394560,2871,0
219,847971574464610304,387,0
220,847962785489326080,4510,21244
221,847842811428974592,1174,4906
222,847617282490613760,374,6290
223,847606175596138505,3045,16940
224,847251039262605312,3869,18505
225,847157206088847362,5169,17880
226,847116187444137987,2845,19356
227,846874817362120707,3506,18210
228,846514051647705089,10250,40168
229,846505985330044928,2722,12713
230,846153765933735936,8047,28454
231,846139713627017216,9025,28123
232,846042936437604353,2551,14459
233,845812042753855489,7773,26409
234,845677943972139009,4333,22841
235,845397057150107648,1597,6910
236,845306882940190720,4793,21119
237,845098359547420673,6851,0
238,844979544864018432,2292,12395
239,844973813909606400,2812,13619
240,844580511645339650,2778,14904
241,844223788422217728,1972,12398
242,843981021012017153,2670,13782
243,843856843873095681,4120,19475
244,843604394117681152,2455,15355
245,843235543001513987,5332,19497
246,842846295480000512,3268,13887
247,842765311967449089,1164,6147
248,842535590457499648,3124,16480
249,842163532590374912,5192,22213
250,842115215311396866,2711,12738
251,841833993020538882,13393,0
252,841680585030541313,7061,23451
253,841439858740625411,3259,11429
254,841320156043304961,4962,17985
255,841314665196081154,4181,14401
256,841077006473256960,4829,20758
257,840761248237133825,1600,0
258,840728873075638272,14457,0
259,840698636975636481,2,158
260,840696689258311684,881,11196
261,840632337062862849,1600,8218
262,840370681858686976,4118,14962
263,840268004936019968,5137,17494
264,839990271299457024,2037,12231
265,839549326359670784,6981,25006
266,839290600511926273,130,0
267,839239871831150596,5855,24680
268,838952994649550848,3620,17953
269,838921590096166913,1830,10160
270,838916489579200512,31,0
271,838831947270979586,9886,0
272,838561493054533637,1216,9972
273,838476387338051585,4302,20533
274,838201503651401729,9073,0
275,838150277551247360,298,1543
276,838085839343206401,0,128
277,838083903487373313,2814,16095
278,837820167694528512,7071,31101
279,837482249356513284,400,3510
280,837471256429613056,2042,11700
281,837110210464448512,2153,14687
282,836989968035819520,2086,11659
283,836753516572119041,4204,17701
284,836677758902222849,1995,11561
285,836648853927522308,502,0
286,836397794269200385,24748,0
287,836380477523124226,2712,13540
288,836260088725786625,3929,19452
289,836001077879255040,3845,17483
290,835685285446955009,7317,0
291,835574547218894849,3253,16247
292,835536468978302976,1525,0
293,835309094223372289,18890,0
294,835297930240217089,2706,15025
295,835264098648616962,1525,7056
296,835246439529840640,63,1955
297,835172783151792128,5227,23982
298,835152434251116546,2726,20495
299,834931633769889797,1470,9866
300,834786237630337024,5036,19696
301,834574053763584002,2282,12513
302,834477809192075265,9630,0
303,834458053273591808,1523,8821
304,834209720923721728,4272,18811
305,834167344700198914,3319,14456
306,834089966724603904,1940,9220
307,834086379323871233,2013,11940
308,833863086058651648,2178,12308
309,833826103416520705,3454,16699
310,833732339549220864,200,0
311,833722901757046785,2961,19181
312,833479644947025920,1854,13673
313,833124694597443584,4379,18507
314,832998151111966721,1974,12141
315,832769181346996225,37,0
316,832757312314028032,3271,15444
317,832682457690300417,2625,10888
318,832645525019123713,480,2659
319,832636094638288896,2514,14516
320,832397543355072512,2013,10946
321,832369877331693569,2871,15663
322,832273440279240704,2107,10368
323,832215909146226688,5637,0
324,832215726631055365,8473,0
325,832088576586297345,2,56
326,832040443403784192,8693,0
327,832032802820481025,4235,16296
328,831939777352105988,5573,21940
329,831926988323639298,34,311
330,831911600680497154,5889,25254
331,831670449226514432,1668,9543
332,831650051525054464,1770,6516
333,831552930092285952,2132,8259
334,831322785565769729,1417,8532
335,831315979191906304,1021,6039
336,831309418084069378,2231,10813
337,831262627380748289,1862,10883
338,830956169170665475,1360,7330
339,830583320585068544,15212,61082
340,830173239259324417,5167,0
341,830097400375152640,2656,8939
342,829878982036299777,4530,0
343,829861396166877184,1773,11228
344,829501995190984704,9630,29178
345,829449946868879360,1834,9649
346,829141528400556032,6682,22390
347,829011960981237760,14817,48799
348,828801551087042563,3115,0
349,828770345708580865,5312,23466
350,828708714936930305,10165,33471
351,828650029636317184,1221,8720
352,828409743546925057,1064,5889
353,828408677031882754,1171,7079
354,828381636999917570,2029,11557
355,828376505180889089,977,6830
356,828372645993398273,2684,11578
357,828361771580813312,164,2018
358,828046555563323392,2625,10796
359,828011680017821696,1965,9515
360,827933404142436356,4756,18428
361,827653905312006145,2757,14215
362,827600520311402496,859,6894
363,827324948884643840,2766,14603
364,827199976799354881,2032,9761
365,826958653328592898,4530,19833
366,826848821049180160,9209,33231
367,826615380357632002,3627,0
368,826598799820865537,225,4732
369,826598365270007810,2154,9229
370,826476773533745153,3844,16970
371,826240494070030336,2393,12194
372,826204788643753985,846,4489
373,826115272272650244,2825,14385
374,825876512159186944,1717,9665
375,825829644528148480,2302,11721
376,825535076884762624,16049,52383
377,825147591692263424,4129,16839
378,825120256414846976,1159,0
379,825026590719483904,1159,5773
380,824796380199809024,5028,0
381,824775126675836928,3228,13742
382,824663926340194305,1625,9701
383,824325613288833024,9716,10909
384,824297048279236611,3522,13915
385,824025158776213504,549,4429
386,823939628516474880,2493,9793
387,823719002937630720,10205,0
388,823699002998870016,2293,12786
389,823581115634085888,2408,11939
390,823333489516937216,21,646
391,823322678127919110,3663,14466
392,823269594223824897,9107,0
393,822975315408461824,3151,15987
394,822872901745569793,39313,121023
395,822859134160621569,2084,12145
396,822647212903690241,5874,0
397,822610361945911296,2685,13644
398,822489057087389700,5874,16736
399,822462944365645825,12968,25827
400,822244816520155136,9107,32325
401,822163064745328640,4313,0
